station_id,name,empty_count
70,San Francisco Caltrain (Townsend at 4th),23450
73,Grant Avenue at Columbus Avenue,12338
69,San Francisco Caltrain 2 (330 Townsend),9852
54,Embarcadero at Bryant,9231
50,Harry Bridges Plaza (Ferry Building),7590
61,2nd at Townsend,6372
60,Embarcadero at Sansome,5894
48,Embarcadero at Vallejo,5868
4,Santa Clara at Almaden,5788
65,Townsend at 7th,5279
63,Howard at 2nd,4998
84,Ryland Park,4949
64,2nd at South Park,4740
74,Steuart at Market,3992
45,Commercial at Montgomery,2916
37,Cowper at University,2402
27,Mountain View City Hall,2359
57,5th at Howard,2282
39,Powell Street BART,1874
36,California Ave Caltrain Station,1745
42,Davis at Jackson,1608
55,Temporary Transbay Terminal (Howard at Beale),1528
3,San Jose Civic Center,1444
46,Washington at Kearney,1342
76,Market at 4th,1251
35,University and Emerson,1193
41,Clay at Battery,1100
71,Powell at Post (Union Square),1075
56,Beale at Market,1064
6,San Pedro Square,1037
82,Broadway St at Battery St,953
75,Mechanics Plaza (Market at Battery),939
28,Mountain View Caltrain Station,868
33,Charleston Park/ North Bayshore Area,852
7,Paseo de San Antonio,829
16,SJSU - San Salvador at 9th,681
51,Embarcadero at Folsom,670
2,San Jose Diridon Caltrain Station,626
9,Japantown,604
77,Market at Sansome,578
62,2nd at Folsom,567
12,SJSU 4th at San Carlos,550
11,MLK Library,487
49,Spear at Folsom,408
68,Yerba Buena Center of the Arts (3rd @ Howard),375
13,St James Park,321
32,Castro Street and El Camino Real,289
47,Post at Kearney,287
8,San Salvador at 1st,270
5,Adobe on Almaden,179
58,San Francisco City Hall,152
66,South Van Ness at Market,130
67,Market at 10th,41
72,Civic Center BART (7th at Market),6
90,5th St at Folsom St,5
88,5th S. at E. San Salvador St,3
31,San Antonio Shopping Center,2
89,S. Market st at Park Ave,2
91,Cyril Magnin St at Ellis St,1
10,San Jose City Hall,0
14,Arena Green / SAP Center,0
29,San Antonio Caltrain Station,0
30,Middlefield Light Rail Station,0
34,Palo Alto Caltrain Station,0
38,Park at Olive,0
59,Golden Gate at Polk,0
80,Santa Clara County Civic Center,0
